Lesson from Ratan Tata: Can India Inc walk away from paying bribes?,Firstpost,4 Mar 2013,http://www.firstpost.com/business/lesson-from-ratan-tata-can-india-inc-walk-away-from-paying-bribes-647673.html,The act of demanding (and giving) bribes is a tango dance that takes two to consummate. Tata later clarified that he had never been personally approached for a ...
Mangalore: DCI bribery case - CBI raids dentist's residence  clinic,Daijiworld.com,23 Jan 2013,http://www.daijiworld.com/news/news_disp.asp?n_id=161789,The raids were conducted as part of the CBI investigations into the an alleged bribery case related to grant of approval to colleges for running various courses by ...
Haveli owner  aides booked for bid to assault  bribe excise officials,Times of India,14 Oct 2013,http://timesofindia.indiatimes.com/city/chandigarh/Haveli-owner-aides-booked-for-bid-to-assault-bribe-excise-officials/articleshow/24173087.cms,PHAGWARA: The owner of famed Haveli Dhaba on the national highway 1 (NH-1) near Jalandhar  who also runs an upscale marriage palace  Haveli Heritage  ...
Helicopter scam: Front company IDS India that routed Rs 140cr ...,Times of India,14 Feb 2013,http://timesofindia.indiatimes.com/india/Helicopter-scam-Front-company-IDS-India-that-routed-Rs-140cr-bribe-does-not-exist/articleshow/18508031.cms,Aeromatrix was promoted by three men  Guido Haschke  Carlo Gerosa and Gautam Khaitan  who are suspects in the Italian investigations into bribery in the ...
Bribe returned after complaints on FB,Jagran Post,14 May 2013,http://post.jagran.com/Official-returns-bribe-after-consumers-lodged-complaints-on-Facebook-1368533790,Madurai: An employee of the electricity department was forced to return the bribe he had taken from consumers after complaints were lodged on the Facebook ...
Police station's no to 'verification fee',Times of India,3 Jun 2013,http://timesofindia.indiatimes.com/city/pune/Police-stations-no-to-verification-fee/articleshow/20418009.cms,Notices against corruption have been put up at many government offices. But it is up to the common man to ensure that he doesn't encourage bribery " he said.
Bribes and spies,Frontline,30 Oct 2013,http://www.frontline.in/the-nation/bribes-and-spies/article5281422.ece,General (retd) V.K. Singh's disclosures  though motivated  reveal that New Delhi persists still in the policies it adopted in 1947—let loose spies in Kashmir with ...
Red tape  bribery allegations stall Walmart's India expansion,India Today,7 Jul 2013,http://indiatoday.intoday.in/story/walmart-bharti-enterprises-woolworths-india-bharti-airtel-sunil-mittal/1/287415.html,The latest developments stem from an ongoing internal bribery probe relating to its Indian operations  still-evolving rules governing foreign participation in India's ...
Ursula Horsman Hospital's CMS among three doctors held for bribe,Times of India,25 Aug 2013,http://timesofindia.indiatimes.com/city/kanpur/Ursula-Horsman-Hospitals-CMS-among-three-doctors-held-for-bribe/articleshow/22049859.cms,KANPUR: Three doctors of Ursula Horsman Hospital (UHM) and Kamlapat Singhania Memorial Hospital (KPM) were taken into custody from the OPDs on ...
API Valmiki Tidke of Crime Branch arrested by ACB for demanding ...,Nagpur Today,15 Jul 2013,http://www.nagpurtoday.in/psi-valmiki-tidke-of-crime-branch-arrested-by-acb-for-demanding-rs-10000-as-bribe/07152108,The API Tidke demanded the bribe amount from Madhur Meghrajani and showed his readiness to accept the bribe amount of Rs 10 000. After confirmation of ...
Corrupt customs cops pay for their greed,Daily News & Analysis,29 Sep 2013,http://www.dnaindia.com/mumbai/column-corrupt-customs-cops-pay-for-their-greed-1895831,CBI sleuths catch the duo who took Rs10k bribe to clear consignment of cell ... The duo had been demanding a bribe from a mobile phone dealer to clear his ...
Income Tax officer caught red handed taking bribe in Ahmedabad,Daily Bhaskar,23 Feb 2013,http://daily.bhaskar.com/news/GUJ-AHD-income-tax-officer-caught-red-handed-taking-bribe-in-ahmedabad-4189750-NOR.html,Ahmedabad: Officials of the Central Bureau of Investigation nabbed JB Singh  an income tax officer  red-handed  while accepting bribe at the Income Tax office ...
'Godman' wife  sons quizzed in dental college bribe case,Times of India,5 Mar 2013,http://timesofindia.indiatimes.com/city/chennai/Godman-wife-sons-quizzed-in-dental-college-bribe-case/articleshow/18823212.cms,The CBI is investigating the payment of bribes by Adhiparasakthi Dental College  Melmaruvathur  to the DCI members to be granted permission to start new ...
Corruption in India a 'fact of life'  say US diplomats,The Hindu,10 Apr 2013,http://www.thehindu.com/news/national/corruption-in-india-a-fact-of-life-say-us-diplomats/article4603544.ece,“An Indian manufacturer paid a substantial bribe to the minister of civil aviation for a particular contract.” However  “the project became a source of controversy ...
Khaki new colour of crime in Mumbai: Bribery cases against ...,Daily News & Analysis,22 Nov 2013,http://www.dnaindia.com/mumbai/report-khaki-new-colour-of-crime-in-mumbai-bribery-cases-against-policemen-on-the-rise-1923484,As per figures provided by the ACB  between January and October this year  182 policemen in the state were found to be involved in bribery cases. The figure ...
Khed tehsildar arrested while accepting bribe,Times of India,30 May 2013,http://timesofindia.indiatimes.com/city/pune/Khed-tehsildar-arrested-while-accepting-bribe/articleshow/20358253.cms,PUNE: The anti-corruption bureau  Pune  on Thursday arrested a tehsildar from Khed while accepting Rs 50 000 as bribe in order to pass judgment in favour of ...
